time,lat,lon,ssp126_tg_mean_p10,ssp126_tg_mean_p50,ssp126_tg_mean_p90,ssp245_tg_mean_p10,ssp245_tg_mean_p50,ssp245_tg_mean_p90,ssp585_tg_mean_p10,ssp585_tg_mean_p50,ssp585_tg_mean_p90
1958-07-01,43.708333225,-79.375002465,19.30,20.82,22.22,19.30,20.82,22.22,19.30,20.82,22.22
1958-08-01,43.708333225,-79.375002465,18.86,20.46,21.31,18.86,20.46,21.31,18.86,20.46,21.31
1958-09-01,43.708333225,-79.375002465,14.45,16.03,18.56,14.45,16.03,18.56,14.45,16.03,18.56
1958-10-01,43.708333225,-79.375002465,7.60,9.75,12.57,7.60,9.75,12.57,7.60,9.75,12.57
1958-11-01,43.708333225,-79.375002465,1.86,4.00,6.45,1.86,4.00,6.45,1.86,4.00,6.45
1958-12-01,43.708333225,-79.375002465,-5.34,-2.05,1.55,-5.34,-2.05,1.55,-5.34,-2.05,1.56
1959-01-01,43.708333225,-79.375002465,-9.12,-4.40,-1.53,-9.12,-4.40,-1.53,-9.12,-4.40,-1.53
1959-02-01,43.708333225,-79.375002465,-8.09,-4.70,-1.43,-8.09,-4.70,-1.43,-8.09,-4.70,-1.43
1959-03-01,43.708333225,-79.375002465,-2.78,0.19,3.43,-2.78,0.19,3.43,-2.78,0.19,3.43
1959-04-01,43.708333225,-79.375002465,4.00,6.67,9.42,4.00,6.67,9.42,4.00,6.67,9.42
1959-05-01,43.708333225,-79.375002465,10.41,13.05,14.83,10.41,13.05,14.83,10.41,13.05,14.83
1959-06-01,43.708333225,-79.375002465,16.43,18.09,19.92,16.43,18.09,19.92,16.43,18.09,19.92
1959-07-01,43.708333225,-79.375002465,19.34,20.77,22.33,19.34,20.77,22.33,19.34,20.77,22.33
1959-08-01,43.708333225,-79.375002465,18.41,19.59,21.73,18.41,19.59,21.73,18.41,19.59,21.73
1959-09-01,43.708333225,-79.375002465,14.43,15.80,17.63,14.43,15.80,17.63,14.43,15.80,17.63
1959-10-01,43.708333225,-79.375002465,7.89,9.79,11.74,7.89,9.79,11.74,7.89,9.79,11.74
1959-11-01,43.708333225,-79.375002465,2.75,4.31,6.60,2.75,4.31,6.60,2.75,4.31,6.60
1959-12-01,43.708333225,-79.375002465,-5.00,-2.56,0.20,-5.00,-2.56,0.20,-5.00,-2.56,0.20
1960-01-01,43.708333225,-79.375002465,-8.50,-5.22,-1.50,-8.50,-5.22,-1.50,-8.50,-5.22,-1.50
1960-02-01,43.708333225,-79.375002465,-6.83,-4.34,-0.64,-6.83,-4.34,-0.64,-6.83,-4.34,-0.64
1960-03-01,43.708333225,-79.375002465,-2.36,0.58,3.43,-2.36,0.58,3.43,-2.36,0.58,3.43
1960-04-01,43.708333225,-79.375002465,4.69,6.92,8.75,4.69,6.92,8.75,4.69,6.92,8.75
1960-05-01,43.708333225,-79.375002465,10.03,12.15,14.20,10.03,12.15,14.20,10.03,12.15,14.20
1960-06-01,43.708333225,-79.375002465,16.32,18.09,19.70,16.32,18.09,19.70,16.32,18.09,19.70
1960-07-01,43.708333225,-79.375002465,19.76,21.01,22.25,19.76,21.01,22.25,19.76,21.01,22.25
1960-08-01,43.708333225,-79.375002465,18.40,20.04,22.35,18.40,20.04,22.35,18.40,20.04,22.35
1960-09-01,43.708333225,-79.375002465,13.56,16.35,17.50,13.56,16.35,17.50,13.56,16.35,17.50
1960-10-01,43.708333225,-79.375002465,7.58,9.57,10.88,7.58,9.57,10.88,7.58,9.57,10.88
1960-11-01,43.708333225,-79.375002465,1.20,4.13,7.04,1.20,4.13,7.04,1.20,4.13,7.04
1960-12-01,43.708333225,-79.375002465,-3.89,-1.41,1.32,-3.89,-1.41,1.32,-3.89,-1.41,1.32
1961-01-01,43.708333225,-79.375002465,-9.00,-4.83,0.24,-9.00,-4.83,0.24,-9.00,-4.83,0.24
1961-02-01,43.708333225,-79.375002465,-7.09,-3.64,-0.63,-7.09,-3.64,-0.63,-7.09,-3.64,-0.63
1961-03-01,43.708333225,-79.375002465,-3.07,-0.06,3.33,-3.07,-0.06,3.33,-3.07,-0.06,3.33
1961-04-01,43.708333225,-79.375002465,4.80,6.89,8.88,4.80,6.89,8.88,4.80,6.89,8.88
1961-05-01,43.708333225,-79.375002465,10.83,12.31,14.36,10.83,12.31,14.36,10.83,12.31,14.36
1961-06-01,43.708333225,-79.375002465,16.92,18.42,20.05,16.92,18.42,20.05,16.92,18.42,20.05
1961-07-01,43.708333225,-79.375002465,19.75,21.46,22.89,19.75,21.46,22.89,19.75,21.46,22.89
1961-08-01,43.708333225,-79.375002465,19.05,20.15,22.13,19.05,20.15,22.13,19.05,20.15,22.13
1961-09-01,43.708333225,-79.375002465,14.22,15.91,18.03,14.22,15.91,18.03,14.22,15.91,18.03
1961-10-01,43.708333225,-79.375002465,6.82,9.89,12.15,6.82,9.89,12.15,6.82,9.89,12.15
1961-11-01,43.708333225,-79.375002465,1.78,4.14,6.10,1.78,4.14,6.10,1.78,4.14,6.10
1961-12-01,43.708333225,-79.375002465,-5.05,-2.11,0.79,-5.05,-2.11,0.79,-5.05,-2.11,0.79
1962-01-01,43.708333225,-79.375002465,-9.42,-5.71,-2.20,-9.42,-5.71,-2.20,-9.42,-5.71,-2.20
1962-02-01,43.708333225,-79.375002465,-6.90,-5.64,-1.43,-6.90,-5.64,-1.43,-6.90,-5.64,-1.43
1962-03-01,43.708333225,-79.375002465,-2.17,0.06,2.27,-2.17,0.06,2.27,-2.17,0.06,2.27
1962-04-01,43.708333225,-79.375002465,4.17,7.54,9.86,4.17,7.54,9.86,4.17,7.54,9.86
1962-05-01,43.708333225,-79.375002465,10.92,12.69,15.22,10.92,12.69,15.22,10.92,12.69,15.22
1962-06-01,43.708333225,-79.375002465,16.30,18.40,20.31,16.30,18.40,20.31,16.30,18.40,20.31
1962-07-01,43.708333225,-79.375002465,19.86,21.30,22.45,19.86,21.30,22.45,19.86,21.30,22.45
1962-08-01,43.708333225,-79.375002465,18.82,20.72,22.20,18.82,20.72,22.20,18.82,20.72,22.20
1962-09-01,43.708333225,-79.375002465,14.15,15.69,17.49,14.15,15.69,17.49,14.15,15.69,17.49
1962-10-01,43.708333225,-79.375002465,7.71,9.43,11.84,7.71,9.43,11.84,7.71,9.43,11.84
1962-11-01,43.708333225,-79.375002465,1.54,4.86,7.18,1.54,4.86,7.18,1.54,4.86,7.18
1962-12-01,43.708333225,-79.375002465,-5.85,-2.83,-0.49,-5.85,-2.83,-0.49,-5.85,-2.83,-0.49
1963-01-01,43.708333225,-79.375002465,-7.71,-4.28,-1.62,-7.71,-4.28,-1.62,-7.71,-4.28,-1.62
1963-02-01,43.708333225,-79.375002465,-7.72,-4.25,-1.59,-7.72,-4.25,-1.59,-7.72,-4.25,-1.59
1963-03-01,43.708333225,-79.375002465,-2.96,0.31,2.89,-2.96,0.31,2.89,-2.96,0.31,2.89
1963-04-01,43.708333225,-79.375002465,4.09,6.29,9.00,4.09,6.29,9.00,4.09,6.29,9.00
1963-05-01,43.708333225,-79.375002465,10.51,12.42,14.07,10.51,12.42,14.07,10.51,12.42,14.07
1963-06-01,43.708333225,-79.375002465,16.90,18.41,19.65,16.90,18.41,19.65,16.90,18.41,19.65
1963-07-01,43.708333225,-79.375002465,19.19,20.98,22.23,19.19,20.98,22.23,19.19,20.98,22.23
1963-08-01,43.708333225,-79.375002465,19.28,20.20,21.75,19.28,20.20,21.75,19.28,20.20,21.75
1963-09-01,43.708333225,-79.375002465,13.50,14.98,17.40,13.50,14.98,17.40,13.50,14.98,17.40
1963-10-01,43.708333225,-79.375002465,8.07,9.43,11.70,8.07,9.43,11.70,8.07,9.43,11.70
1963-11-01,43.708333225,-79.375002465,1.23,3.72,6.13,1.23,3.72,6.13,1.23,3.72,6.13
1963-12-01,43.708333225,-79.375002465,-5.58,-2.36,0.56,-5.58,-2.36,0.56,-5.58,-2.36,0.56
1964-01-01,43.708333225,-79.375002465,-8.26,-4.04,-1.70,-8.26,-4.04,-1.70,-8.26,-4.04,-1.70
1964-02-01,43.708333225,-79.375002465,-7.66,-4.44,-1.21,-7.66,-4.44,-1.21,-7.66,-4.44,-1.21
1964-03-01,43.708333225,-79.375002465,-3.30,0.29,3.70,-3.30,0.29,3.70,-3.30,0.29,3.70
